Country Name,"Series Name","Time","Value"
"Korea, Rep.","Population, total","2019","51764822"
"Korea, Rep.","Population, total","2020","51836239"
"Korea, Rep.","GDP per capita, PPP (constant 2021 international $)","2019","46757.2614496182"
"Korea, Rep.","GDP per capita, PPP (constant 2021 international $)","2020","46361.5957811718"
Ethiopia,"Population, total","2019","115737383"
Ethiopia,"Population, total","2020","118917671"
Ethiopia,"GDP per capita, PPP (constant 2021 international $)","2019","2437.97046055952"
Ethiopia,"GDP per capita, PPP (constant 2021 international $)","2020","2516.54907642544"
Germany,"Population, total","2019","83092962"
Germany,"Population, total","2020","83160871"
Germany,"GDP per capita, PPP (constant 2021 international $)","2019","62970.7160913279"
Germany,"GDP per capita, PPP (constant 2021 international $)","2020","60342.6627037391"
,"","",""
,"","",""
,"","",""
Data from database: World Development Indicators,"","",""
Last Updated: 07/01/2025,"","",""
