Country Name,"Series Name","2019","2020"
"Korea, Rep.","Population, total","51764822","51836239"
"Korea, Rep.","GDP per capita, PPP (constant 2021 international $)","46757.2614496182","46361.5957811718"
Ethiopia,"Population, total","115737383","118917671"
Ethiopia,"GDP per capita, PPP (constant 2021 international $)","2437.97046055952","2516.54907642544"
Germany,"Population, total","83092962","83160871"
Germany,"GDP per capita, PPP (constant 2021 international $)","62970.7160913279","60342.6627037391"
,"","",""
,"","",""
,"","",""
Data from database: World Development Indicators,"","",""
Last Updated: 07/01/2025,"","",""
